"","iso2c","country","FB.BNK.CAPA.ZS","year","iso3c","region","capital","longitude","latitude","income","lending","EuropeanRegions"
"1","AD","Andorra",NA,2012,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified","Southwestern Europe"
"2","AD","Andorra",NA,2010,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified","Southwestern Europe"
"3","AD","Andorra",NA,2013,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified","Southwestern Europe"
"4","AD","Andorra",NA,2008,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified","Southwestern Europe"
"5","AD","Andorra",NA,2011,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified","Southwestern Europe"
"6","AD","Andorra",NA,2007,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified","Southwestern Europe"
"7","AD","Andorra",NA,2009,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified","Southwestern Europe"
"8","AL","Albania",7.6,2007,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD","Southeastern and Balkan"
"9","AL","Albania",9.3,2013,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD","Southeastern and Balkan"
"10","AL","Albania",8.6,2012,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD","Southeastern and Balkan"
"11","AL","Albania",9.4,2010,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD","Southeastern and Balkan"
"12","AL","Albania",8.6,2008,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD","Southeastern and Balkan"
"13","AL","Albania",8.7,2011,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD","Southeastern and Balkan"
"14","AL","Albania",9.6,2009,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD","Southeastern and Balkan"
"15","AM","Armenia",17.2,2011,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend","Caucasus"
"16","AM","Armenia",20.2,2010,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend","Caucasus"
"17","AM","Armenia",15.6,2013,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend","Caucasus"
"18","AM","Armenia",22.5,2007,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend","Caucasus"
